d,alpha,kappa,rho,numavg,gtask_mean,gtask_std
10,10,0.2,0.01,1000,1.5078836985482127,2.298058558947971
10,10,0.4,0.01,1000,1.17619138585768,1.8293128305244895
10,10,0.6,0.01,1000,1.0478304450959703,1.760859079440107
10,10,0.8,0.01,1000,1.2490849089883223,1.9906426886396988
10,10,1.0,0.01,1000,0.9879429459447443,1.5609807161996567
10,10,1.2,0.01,1000,0.974624159800229,1.5168972155436111
10,10,1.6,0.01,1000,0.8221611125872406,1.3357242392097164
10,10,2.0,0.01,1000,0.9147752244920281,1.4953219836544596
10,10,4.0,0.01,1000,0.7045391611502753,1.1616544464973293
10,10,8.0,0.01,1000,0.6309116229372467,1.0624631386214465
10,10,16.0,0.01,1000,0.539124612753083,0.9576784396599217
10,10,32.0,0.01,1000,0.5052009660937505,0.8806647457000096
