d,alpha,kappa,tau,rho,lam,numavg,gtask_mean,gtask_std
10,10,0.2,10,0.01,1e-06,20,1.4520826647021614,0.21692242329880376
10,10,0.4,10,0.01,1e-06,20,0.9249750964130745,0.09182368137750448
10,10,0.6,10,0.01,1e-06,20,0.6760891226428087,0.08997105066322769
10,10,0.8,10,0.01,1e-06,20,0.42930889405157946,0.0693311154027634
10,10,1.0,10,0.01,1e-06,20,0.26624162681555835,0.05244829226022311
10,10,1.2,10,0.01,1e-06,20,0.15430742216831309,0.046430166731072926
10,10,1.6,10,0.01,1e-06,20,0.06372931011259442,0.02579201473133595
10,10,2.0,10,0.01,1e-06,20,0.04552148167045085,0.020456160481375555
10,10,4.0,10,0.01,1e-06,20,0.011287470711296488,0.005421654075946247
10,10,8.0,10,0.01,1e-06,20,0.00424146849431678,0.0039705917927632325
10,10,16.0,10,0.01,1e-06,20,0.0019361360547297951,0.0034991843357475216
10,10,32.0,10,0.01,1e-06,20,0.001073458922072501,0.003801589239049887
